100円ショップ[名]：100日元店
Tシャツ[名]：T恤衫
〜かん, 〜感[接尾]：…感
あくる, 明くる[连体]：次；翌
あくる～, 明くる～[连]：次…；第二…
あけがた, 明け方[名]：黎明
あけがた, 明け方[名]：黎明；拂晓
あけくれる, 明け暮れる[动]：致力于；日复一日
あけはなつ, 開け放つ[动]：完全打开
あける, 明ける[动]：天亮；(新年)来临
あける, 明ける[动]：天亮；结束
あける, 明ける[动]：明亮；过年
あける, 空ける[动]：空出；腾出
あける, 開ける, 明ける[动]：开；打开；天亮；期满
あける, 開ける[动]：打开
あける, 開ける[动]：打开；空出来
あけわたす, 明け渡す[动]：让出；腾出
あげます[动]：给；送
あげる, 上げる, 揚げる, 挙げる[动]：举；抬；提高；给
あげる, 上げる[动]：举起；提高
あげる, 上げる[动]：举起；提高；给
あげる, 上げる[动]：向上；举
あげる, 挙げる[动]：举出
あげる, 挙げる[动]：举起；列举
あげる, 揚げる[动]：举起；油炸
あげる, 揚げる[动]：炸
あこがれ, 憧れ[名]：憧憬
あこがれ, 憬れ[名]：憧憬；向往；仰慕
あこがれる, 憧れる[动]：憧憬
あこがれる, 憧れる[动]：憧憬；向往
あこがれる, 憧れる[动]：憧憬；向往；仰慕
あご, 顎[名]：下巴
あさ, 朝[名]：早上
あさ, 朝[名]：早晨；上午
あさ, 麻[名]：麻
あさい, 浅い[形]：浅
あさい, 浅い[形]：浅的
あさいち, 朝一[名]：一大早
あさいち, 朝市[名]：早市
あさがお, 朝顔[名]：牵牛花
あさがた, 朝方[名]：早晨
あさごはん, 朝ご飯[名]：早饭
あさごはん, 朝御飯[名]：早饭
あさって[名]：后天
あさねぼう, 朝寝坊[名]：早上睡懒觉
あさねぼう, 朝寝坊[名]：睡懒觉
あさねぼう, 朝寝坊[名·动]：睡懒觉
あさはか, 浅はか[形]：浅薄的
あさひ, 朝日[名]：朝日；旭日
あさひ, 朝日[名]：朝阳
あさましい, 浅ましい[形]：卑鄙
あさましい, 浅ましい[形]：卑鄙的；可悲的
あさましい, 浅ましい[形]：意外的；可怜的
あさめしまえ, 朝飯前[名]：轻而易举
あさゆう, 朝夕[名]：早晚
あざ, 痣[名]：痣；淤青
あざむく, 欺く[动]：欺骗
あざやか, 鮮やか[形]：鲜明；鲜艳；巧妙
あざやか, 鮮やか[形]：鲜艳
あざやか, 鮮やか[形]：鲜艳的；巧妙的
あざわらう, 嘲笑う[动]：嘲笑
あし, 脚[名]：腿；脚
あし, 葦[名]：芦苇
あし, 足[名]：脚；腿
あしあと, 足跡[名]：脚印
あしあと, 足跡[名]：足迹
あしあと, 足跡[名]：足迹；脚印；业绩
あしおと, 足音[名]：脚步声
あしからず, 悪しからず[副]：不要见怪
あしからず, 悪しからず[副]：请别见怪
あしからず, 悪しからず[副]：请勿见怪
あしがかり, 足掛かり[名]：线索；立足点
あしがため, 足固め[名·动]：打基础
あしくび, 足首[名]：脚脖子
あしこし, 足腰[名]：腰腿
あした, 明日[名]：明天
あした[名]：明天
あしどり, 足取り[名]：步伐；踪迹
あしば, 足場[名]：立足点；脚手架
あしぶみ, 足踏み[名·动]：踏步；停滞
あしもと, 足元[名]：脚下
あしもと, 足元；足下[名]：脚下；身边
あしをのばす, 足を伸ばす[惯用语]：去；前往
あしをはこぶ, 足を運ぶ[惯用语]：特意前往
あじ, 味[名]：味道
あじ, 味[名]：味道；滋味
あじ, 味[名]：味道；趣味；滋味
あじみ, 味見[名·动]：品尝
あじわい, 味わい[名]：味道；趣味
あじわい, 味わい[名]：风味
あじわう, 味わう[动]：品尝；体会
あじわう, 味わう[动]：品尝；体验
あじわう, 味わう[动]：品尝；玩味；体验
あす, 明日[名]：明天
あす, 明日[名]：明日；未来
あずかる, 与る[动]：参与；蒙受
あずかる, 預かる[动]：保管；收存
あずかる, 預かる[动]：收存；保管；负责处理
あずき, 小豆[名]：红豆
あずける, 預ける[动]：寄存；寄放；委托
あずける, 預ける[动]：寄存；托付
あせ, 汗[名]：汗
あせ, 汗[名]：汗；水分
あせくさい, 汗臭い[形]：有汗味的
あせる, 焦る[动]：焦急
あせる, 焦る[动]：着急
あせる, 焦る[动]：着急；焦躁
あせる, 褪せる[动]：褪色
あそこ[代]：那儿；那里
あそこ[代]：那里
あそこ[代]：那里；那个地方
あそび, 遊び[名]：玩
あそび, 遊び[名]：玩耍；游玩；消遣
あそび, 遊び[名]：玩；游戏
あそぶ, 遊ぶ[动]：玩
あそぶ, 遊ぶ[动]：玩耍；游玩；闲置
あたい, 値[名]：数值
あたいする, 値する[动]：值得
あたえる, 与える[动]：给予
あたえる, 与える[动]：给予；造成
あたえる, 与える[动]：给；授予；使蒙受
あたかも[副]：宛如；恰好
あたかも[副]：恰似
あたたかい, 暖かい[形]：暖和；热情；温馨
あたたかい, 暖かい[形]：温暖
あたたかい, 暖かい[形]：温暖的
あたたかい, 暖かい；温かい[形]：温暖；温热
あたたかい, 温かい[形]：温暖
あたたかさ, 暖かさ[名]：温暖
あたたまる, 暖まる[动]：变暖
あたたまる, 暖まる；温まる[动]：变暖
あたたまる, 温まる[动]：变暖
あたためる, 暖める, 温める[动]：使暖；使热
あたためる, 暖める[动]：加热
あたためる, 暖める；温める[动]：加热；弄暖
あたためる, 温める[动]：加热
あたためる, 温める[动]：加热；弄暖
あたま, 頭[名]：头；头发；头脑
あたま, 頭[名]：头；头脑
あたま, 頭[名]：头；脑袋
あたまがいい, 頭がいい[惯用语]：聪明
あたらしい, 新しい[形]：新
あたらしい, 新しい[形]：新的
あたらしい, 新しい[形]：新；新鲜；新式
あたり, 当たり[名]：中奖；每…
あたり, 当たり[名]：命中；中奖；每
あたり, 辺り[名]：周围
あたり, 辺り[名]：周围；附近
あたり, 辺り[名]：附近
あたり, 辺り[名]：附近；周围
あたりまえ, 当たり前[形]：当然；应该；普通
あたりまえ, 当たり前[形]：理所应当的
あたりまえ, 当たり前[形]：理所当然
あたる, 当たる[动]：碰上；命中
あたる, 当たる[动]：碰上；撞上；晒；相当于
あたる, 当たる[动]：碰上；猜中
あだ, 仇[名]：仇人；仇恨
あだな, あだ名[名]：绰号；外号
あちこち[代]：到处
あちこち[代]：这儿那儿；到处；颠倒
あちこち[副]：到处
あちら[代]：那边
あちら[代]：那边；那位
あちら[代]：那里；那边；那位
あちらこちら[代]：这儿那儿；到处；颠倒
あちらこちら[副]：到处
あちらこちら[名]：到处；各处
あっか, 悪化[名]：恶化
あっか, 悪化[名·动]：恶化
あっけない, 呆気ない[形]：太简单；不过瘾
あっけない, 呆気ない[形]：过于简单的；不尽兴的
あっけない[形]：太简单；不尽兴
あっさり[副]：清淡；干脆
あっさり[副]：清淡；简单；轻松
あっさり[副·动]：清淡；朴素；干脆
あっしゅく, 圧縮[名]：压缩
あっしゅく, 圧縮[名·动]：压缩
あっせん, 斡旋[名]：斡旋；介绍
あっせん, 斡旋[名·动]：斡旋；介绍
あっち[代]：那边
あっち[代]：那边；那里
あっというま, あっという間[名]：一瞬间；转眼间
あっとう, 圧倒[名]：压倒
あっとう, 圧倒[名·动]：压倒
あっぱく, 圧迫[名]：压迫
あっぱく, 圧迫[名·动]：压迫
あつあつ[形·副]：滚烫；热恋
あつい, 厚い[形]：厚
あつい, 厚い[形]：厚的
あつい, 厚い[形]：厚；深厚
あつい, 暑い[形]：(天气)热
あつい, 暑い[形]：天热的
あつい, 暑い[形]：热
あつい, 暑い[形]：（天气）热
あつい, 熱い[形]：(温度)热；热烈
あつい, 熱い[形]：烫
あつい, 熱い[形]：烫手的
あつかい, 扱い[名]：使用；处理；对待
あつかい, 扱い[名]：对待
あつかい, 扱い[名]：对待；处理
あつかう, 扱う[动]：使用；处理；对待
あつかう, 扱う[动]：处理；经营
あつかう, 扱う[动]：对待；使用；处理
あつかう, 扱う[动]：对待；操作
あつかましい, 厚かましい[形]：厚脸皮
あつかましい, 厚かましい[形]：厚脸皮的
あつかましい, 厚かましい[形]：脸皮厚的
あつくるしい, 暑苦しい[形]：热得难受的
あつさ, 厚さ[名]：厚度
あつさ, 暑さ[名]：暑热
あつまり, 集まり[名]：聚会
あつまり, 集まり[名]：集合
あつまり, 集まり[名]：集合；会合
あつまる, 集まる[动]：聚集
あつまる, 集まる[动]：聚集；汇集；集中
あつまる, 集まる[动]：聚集；集中；汇集
あつめる, 集める[动]：使聚集；使汇集；使集中
あつめる, 集める[动]：收集
あつめる, 集める[动]：收集；召集
あつめる, 集める[动]：收集；招集；集中
あつらえる, 誂える[动]：定做
あつりょく, 圧力[名]：压力
あて, 当て[名]：指望；目标
あて, 当て[名]：目标；指望
あてがう, 宛がう[动]：贴；靠；分配
あてさき, 宛先[名]：收件人姓名及地址
あてじ, 当て字[名]：谐音汉字
あてな, 宛名[名]：收件人姓名
あてな, 宛名[名]：收件人姓名和地址
あてな, 宛名[名]：收件人姓名地址
あてはまる, 当てはまる[动]：适用
あてはまる, 当てはまる[动]：适用；适合
あてはめる, 当てはめる[动]：套用
あてはめる, 当てはめる[动]：应用；套用
あてはめる, 当てはめる[动]：适用；适合
あてる, 充てる[动]：充当
あてる, 宛てる[动]：寄往；发给
あてる, 当てる[动]：猜中；贴上
あてる, 当てる[动]：碰；撞；晒；充当；猜
あてる, 当てる[动]：碰；猜中
あと, 後[名]：后面；之后
あと, 後[名]：后面；以后
あと, 後[名]：后面；以后；其余
あと, 跡[名]：痕迹
あと[名·副]：之后；然后；还（差）
あとかたづけ, 後片づけ[名·动]：收拾；整理
あとしまつ, 後始末[名]：善后；收拾
あとつぎ, 跡継ぎ[名]：继承人
あとで, 後で[副]：过会儿
あとで[副]：稍后；等一下
あとにする, 後にする[惯用语]：推后；改天
あとまわし, 後回し[名]：推后
あな, 穴[名]：孔；洞；缺点
あな, 穴[名]：洞
あな, 穴[名]：洞；孔
あなうめ, 穴埋め[名·动]：填补
あながち[副]：（后接否定）未必；不一定
あなた[代]：你
あなた[代]：你；(妻称)老公
あなた[代]：你；您
あに, 兄[名]：哥哥
あに, 兄[名]：哥哥；家兄
あに, 兄[名]：（我的）哥哥
あにき, 兄貴[名]：兄长
あね, 姉[名]：姐姐
あの[连]：那个
あの[连]：那；那个
あの[连体]：那个
あのう[感]：嗯…（用于踌躇）
あのかた, あの方[代]：那位
あのてこのてをつかって, あの手この手を使って，千方百-计
あのひと, あの人[代]：那个人；他；她
あばく, 暴く[动]：揭露
あばらや, あばら家[名]：破房子；寒舍
あばれる, 暴れる[动]：胡闹
あばれる, 暴れる[动]：胡闹；发疯
あばれる, 暴れる[动]：胡闹；横冲直撞
あばれる, 暴れる[动]：闹；胡闹；横冲直撞
あびる, 浴びる[动]：浇；淋；沐浴；遭受
あびる, 浴びる[动]：淋浴
あびる, 浴びる[动]：淋浴；沐浴
あびる, 浴びる[动]：淋；沐浴
あふれる, 溢れる[动]：溢出；充满
あふれる, 溢れる[动]：溢出；充满；洋溢
あぶない, 危ない[形]：危险
あぶない, 危ない[形]：危险的
あぶない, 危ない[形]：危险；靠不住
あぶなげない, 危なげない[形]：有把握的
あぶら, 油[名]：油
あぶら, 油[名]：油；脂肪
あぶら, 脂[名]：脂肪
あぶらあげ, 油揚げ[名]：油炸豆腐
あぶらえ, 油絵[名]：油画
あぶる, 炙る[动]：烤；晒
あぶる, 炙る[动]：烤；晒(火)
あべこべ[名]：颠倒；相反
あべこべ[名·形]：相反；颠倒
あまあし, 雨足[名]：雨势
あまい, 甘い[形]：甜
あまい, 甘い[形]：甜的；天真的
あまい, 甘い[形]：甜的；简单的；宽松的
あまい, 甘い[形]：甜；淡；宽松
あまえる, 甘える[动]：撒娇
あまえる, 甘える[动]：撒娇；利用
あまえる, 甘える[动]：撒娇；承蒙
あまくち, 甘口[名]：甜口
あまくち, 甘口[名·形]：甜味的；甜言蜜语
あまぐ, 雨具[名]：雨具
あまさ, 甘さ[名]：甜度
あまだれ, 雨垂れ[名]：雨滴
あまど, 雨戸[名]：防雨门
あまみ, 甘み[名]：甜味
あまもよう, 雨模様[名]：要下雨的样子
あまやかす, 甘やかす[动]：姑息；娇惯
あまやかす, 甘やかす[动]：娇惯
あまやかす, 甘やかす[动]：娇纵
あまやどりします, 雨宿りします[动]：避雨
あまり, 余り[名]：剩余
あまり, 余り[名]：剩余；(后接否定)不怎么
あまり, 余り[名]：剩余；余数；过度
あまり[副]：多余
あまり[副·形]：（后接否定）不太…；过分
あまり[名]：多余；剩余
あまる, 余る[动]：剩下；剩余
あまる, 余る[动]：剩下；多余
あまんじる, 甘んじる[动]：甘愿；满足
あみ, 網[名]：网
あみど, 網戸[名]：纱窗
あみもの, 編み物[名]：编织品
あみもの, 編み物[名]：编织；编织物
あむ, 編む[动]：编织
あむ, 編む[动]：编织；编集
あめ, 雨[名]：雨
あめ, 雨[名]：雨；雨天
あめ, 飴[名]：糖
あめかぜ, 雨風[名]：风雨
あやうい, 危うい[形]：危险的
あやうい, 危うい[形]：危险；差一点就…
あやうく, 危うく[副]：险些；好不容易
あやかる[动]：效仿；沾光
あやしい, 怪しい[形]：可疑
あやしい, 怪しい[形]：可疑的；奇怪的
あやしい, 怪しい[形]：奇怪的；可疑的
あやしい, 怪しい[形]：奇怪；可疑；靠不住
あやしむ, 怪しむ[动]：怀疑
あやしむ, 怪しむ[动]：觉得奇怪；可疑
あやつる, 操る[动]：操纵
あやつる, 操る[动]：操纵；掌握
あやつる, 操る[动]：操纵；控制
あやふや[形]：含糊不清
あやふや[形]：含糊不清；模棱两可
あやぶむ, 危ぶむ[动]：担心；怀疑
あやぶむ, 危ぶむ[动]：觉得危险；担心
あやまち, 過ち[名]：过失
あやまち, 過ち[名]：过错
あやまり, 誤り[名]：错误
あやまる, 誤る[动]：弄错
あやまる, 誤る[动]：搞错
あやまる, 誤る[动]：错；弄错；贻误
あやまる, 謝る[动]：谢罪；道歉
あやまる, 謝る[动]：道歉
あやまる, 謝る[动]：道歉；谢罪
あゆみ, 歩み[名]：步伐；历史
あゆみ, 歩み[名]：步伐；历程
あゆむ, 歩む[动]：步行；前进
あゆむ, 歩む[动]：走
あゆむ, 歩む[动]：走；前进
あら, 粗[名]：缺点；鱼骨
あら[感]：唉呀(女性用)
あらい, 粗い[形]：粗
あらい, 粗い[形]：粗大的；粗糙的；粗略的
あらい, 粗い[形]：粗的；粗糙的
あらい, 荒い[形]：剧烈的
あらい, 荒い[形]：粗暴
あらい, 荒い[形]：粗暴的；剧烈的
あらう, 洗う[动]：洗
あらう, 洗う[动]：洗；冲洗
あらう, 洗う[动]：洗；彻底查清
あらかじめ, 予め[副]：事先；预先
あらかじめ, 予め[副]：预先
あらかじめ, 予め[副]：预先；事先
あらかた[副]：大致；大部分
あらがう, 抗う[动]：抵抗；抗争
あらし, 嵐[名]：暴风雨
あらし, 嵐[名]：暴风雨；风暴
あらす, 荒らす[动]：使…荒芜
あらす, 荒らす[动]：使乱七八糟；骚扰
あらす, 荒らす[动]：使荒芜；糟蹋
あらすじ, 粗筋[名]：梗概
あらすじ, 粗筋[名]：梗概；概要
あらすじ[名]：梗概；概要
あらそい, 争い[名]：争吵；争论；纠纷
あらそい, 争い[名]：争斗；纠纷
あらそい, 争い[名]：纷争；争吵
あらそう, 争う[动]：争夺；争论
あらそう, 争う[动]：竞争；争吵
あらそう, 争う[动]：竞争；争夺；争论
あらそって, 争って[副]：争先恐后地
あらた, 新た[形]：新的
あらた, 新た[形]：新的；重新
あらた, 新た[形]：重新
あらたまる, 改まる[动]：改善；(态度)郑重
あらたまる, 改まる[动]：郑重；改善
あらためて, 改めて[副]：再次
あらためて, 改めて[副]：再次；重新
あらためて, 改めて[副]：改变
あらためて, 改めて[副]：重新；再一次
あらためる, 改める[动]：改变；修改
あらためる, 改める[动]：改正
あらためる, 改める[动]：改；改变；修改；检查
あらっぽい, 荒っぽい[形]：粗暴
あらっぽい, 荒っぽい[形]：粗暴的
あらゆる[连]：所有的一切
あらゆる[连]：所有；一切
あらゆる[连体]：所有；一切
あられ, 霰[名]：冰雹
あらわす, 現す[动]：显露
あらわす, 現す[动]：显露；出现
あらわす, 現す[动]：显露；显现
あらわす, 著す[动]：著作
あらわす, 表す[动]：表现；表示；象征
あらわす, 表す[动]：表示
あらわす, 表す[动]：表示；表现
あらわす, 表す[动]：表示；表达
あらわれ, 現れ[名]：表现
あらわれ, 現れ[名]：表现；体现
あらわれ, 表れ[名]：表现；结果
あらわれる, 現れる[动]：出现
あらわれる, 現れる[动]：出现；显露
あらわれる, 現れる[动]：出现；露出
あらわれる, 表れる[动]：表现；显出
あらわれる, 表れる[动]：表现；显露
あり, 蟻[名]：蚂蚁
ありかた, あり方[名]：应有的状态；理想状态
ありかた, 在り方[名]：应有状态；存在方式
ありがたい, 有り難い[形]：难得；可贵；值得感谢
ありがたい, 有難い[形]：难得；值得感谢
ありがたい, 有難い[形]：难得；感激；帮大忙了
ありがたい, 有難い[形]：难得；感谢
ありがたい[形]：难得；值得感谢
ありがたさ[名]：珍贵；价值
ありがとう[感]：谢谢
ありがとう[感]：谢谢；感谢
ありさま, 有り様[名]：样子
ありさま, 有様[名]：样子；状况
ありとあらゆる[连体]：所有；一切
ありのまま[副]：原样
ありのまま[名]：原样；如实
ありのまま[名·形·副]：如实；原样
ありふれた[连体]：常见的；不稀奇的
ありふれる, 有り触れる[动]：到处都有
ありふれる, 有り触れる[动]：常见；不稀奇
ありまおんせん, 有馬温泉[名]：有马温泉
あります[动]：举行
ある, 在る[动]：在；有
ある, 或[连]：或者；某个
ある, 或る[连]：某；有的
ある, 或る[连体]：某个
ある, 有る, 在る[动]：有；存在；持有；举办
ある, 有る[动]：有
ある, 有る[动]：有；在
ある[连]：某
ある[连体]：某；某个
あるいは, 或いは[接]：或者
あるいは, 或いは[接]：或者；也许
あるいは, 或いは[接]：或；或者；也许
あるいは[接]：或者；或是
あるく, 歩く[动]：步行；走
あるく, 歩く[动]：走
あるく, 歩く[动]：走；步行
あるていど, ある程度[副]：某种程度上；一定程度上
あれ[代]：那个
あれ[代]：那；那个；那时
あれこれ[副]：这个那个
あれこれ[副]：这个那个；种种
あれこれ[名]：种种；这个那个
あれこれ[名]：这个那个
あれこれ[名·代]：这个那个；种种
あれる, 荒れる[动]：天气变坏；(皮肤)变粗糙
あれる, 荒れる[动]：波涛汹涌；天气不好；皮肤粗糙
あれる, 荒れる[动]：荒芜；天气恶劣
あわ, 泡[名]：泡沫
あわ, 泡[名]：泡；沫
あわ, 泡[名]：泡；泡沫
あわい, 淡い[形]：淡的；浅的
あわい, 淡い[形]：颜色浅的；味道淡的
あわす, 合わす[动]：合并
あわす, 合わす[动]：合并；配合
あわせて, 合わせて[副]：共计；同时
あわせる, 合わせる[动]：合并；配合
あわせる, 合わせる[动]：合并；配合；核对
あわせる, 合わせる[动]：配合；合并
あわただしい, 慌ただしい[形]：匆忙
あわただしい, 慌ただしい[形]：匆忙的；慌忙的
あわただしい, 慌ただしい[形]：慌张的；匆忙的
あわただしい[形]：匆忙；忙乱
あわてもの, 慌て者[名]：冒失鬼
あわてる, 慌てる[动]：惊慌；慌张；着急
あわてる, 慌てる[动]：慌张
あわてる, 慌てる[动]：慌张；着急
あわれ, 哀れ[名]：哀伤；悲伤
あわれ, 哀れ[名·形]：悲哀；可怜
あわれ, 哀れ[形]：可怜；悲哀
あわれ, 哀れ[形]：哀伤的
あわれむ, 哀れむ[动]：怜悯
あん, 案[名]：想法；主意；提案
あん, 案[名]：提案；想法
あん, 案[名]：方案
あん, 案[名]：方案；办法
あん, 餡[名]：馅
あんい, 安易[形]：容易的
あんい, 安易[形]：容易；安逸
あんい, 安易[形]：轻易
あんうん, 暗雲[名]：乌云；险恶形势
あんか, 安価[形]：廉价的
あんがい, 案外[副]：意外地
あんがい, 案外[副]：没有想到的
あんがい, 案外[名·副]：意外
あんがい, 案外[形]：没有想到的
あんき, 暗記[名]：背诵
あんき, 暗記[名·动]：背诵
あんさつ, 暗殺[名]：暗杀
あんさつ, 暗殺[名·动]：暗杀
あんざん, 暗算[名]：心算
あんざん, 暗算[名·动]：心算
あんしょう, 暗唱[名·动]：背诵
あんしょうばんごう, 暗証番号[名]：密码
あんしん, 安心[名]：安心；放心
あんしん, 安心[名]：放心
